"train no.","train name","starts","ends"
"09303","Chandigarh Special","Indore Junction Bg","Chandigarh"
"12759","Charminar Express","Chennai Central","Hyderabad Decan"
"12760","Charminar Express","Hyderabad Decan","Chennai Central"
"18237","Chattisgarh Express","Bilaspur Junction","Amritsar Junction"
"15003","Chaurichauraexp","Kanpur Anwrganj","Gorakhpur Junction"
"15004","Chaurichauraexp","Gorakhpur Junction","Kanpur Anwrganj"
"16615","Chemmozhi Express","Mannargudi","Coimbatore Junction"
"16616","Chemmozhi Express","Coimbatore Junction","Mannargudi"
"06060","Chennai   Express","Velankanni","Chennai Egmore"
"06348","Chennai  Express","Trivandrum Cntl","Chennai Central"
"06616","Chennai  Superfast Express","Coimbatore Junction","Chennai Central"
"12686","Chennai Express","Mangalore Cntl","Chennai Central"
"06040","Chennai Express","Coimbatore Junction","Chennai Egmore"
"06016","Chennai Express","Mangalore Cntl","Chennai Central"
"06310","Chennai Express","Nagercoil Junction","Chennai Central"
"06082","Chennai Express","Kochuveli","Chennai Central"
"12604","Chennai Express","Hyderabad Decan","Chennai Central"
"06084","Chennai Express","Nagercoil Junction","Chennai Egmore"
"16176","Chennai Express","Karaikal","Chennai Egmore"
"06338","Chennai Express","Kochuveli","Chennai Central"
"06018","Chennai Express","Nagercoil Junction","Chennai Egmore"
"06008","Chennai Express","Tuticorin","Chennai Central"
"06042","Chennai Express","Coimbatore Junction","Chennai Egmore"
"06004","Chennai Express","Kollam Junction","Chennai Central"
"06624","Chennai Express","Coimbatore Junction","Chennai Egmore"
"06036","Chennai Express","Tuticorin","Chennai Egmore"
"12164","Chennai Express","Chennai Egmore","Dadar"
"06062","Chennai Express","Tiruchchirapali","Chennai Egmore"
"06606","Chennai Express","Erode Junction","Chennai Central"
"12668","Chennai Express","Nagercoil Junction","Chennai Egmore"
"12682","Chennai Express","Coimbatore Junction","Chennai Central"
"12692","Chennai Express","Sai P Nilayam","Chennai Central"
"06748","Chennai Express","Nagercoil Junction","Chennai Egmore"
"16854","Chennai Express","Tiruchchirapali","Chennai Egmore"
"06012","Chennai Express","Kochuveli","Chennai Central"
"56101","Chennai Express","Metur Dam","Chennai Egmore"
"22681","Chennai Express","Mysore Junction","Chennai Central"
"22624","Chennai Express","Madurai Junction","Chennai Egmore"
"12610","Chennai Express","Bangalore Cy Junction","Chennai Central"
"12163","Chennai Express","Dadar","Chennai Egmore"
"16702","Chennai Express","Rameswaram","Chennai Egmore"
"06056","Chennai Express","Eranakulam Junction","Chennai Central"
"06058","Chennai Express","Tiruchchirapali","Chennai Egmore"
"16102","Chennai Express","Rameswaram","Chennai Egmore"
"12680","Chennai Express","Coimbatore Junction","Chennai Central"
"22640","Chennai Express","Alleppey","Chennai Central"
"11074","Chennai Ltt Express","Chennai Central","Lokmanyatilak T"
"11027","Chennai Mail","Mumbai Cst","Chennai Central"
"12602","Chennai Mail","Mangalore Cntl","Chennai Central"
"12624","Chennai Mail","Trivandrum Cntl","Chennai Central"
"12658","Chennai Mail","Bangalore Cy Junction","Chennai Central"
"12434","Chennai Rajdhni","H Nizamuddin","Chennai Central"
"12673","Cheran Express","Chennai Central","Coimbatore Junction"
"12674","Cheran Express","Coimbatore Junction","Chennai Central"
"12981","Chetak Express","Delhi S Rohilla","Udaipur City"
"12982","Chetak Express","Udaipur City","Delhi S Rohilla"
"11059","Chhapra Express","Lokmanyatilak T","Chhapra"
"18238","Chhatisgarh Express","Amritsar Junction","Chhindwara Junction"
"15205","Chitrakut  Express","Lucknow Ne","Jabalpur"
"15009","Chitrakut  Express","Lucknow Ne","Jabalpur"
"15206","Chitrakut Express","Jabalpur","Lucknow Ne"
"51754","Chrm Rewa F Pgr","Chirmiri","Rewa"
"12824","Chtsgrh S Kranti","H Nizamuddin","Durg"
"17643","Circar Express","Chennai Egmore","Kakinada Port"
"17644","Circar Express","Kakinada Port","Chennai Egmore"
"18403","Ckp Bbn Intercity Express","Chakradharpur","Barabil"
"08463","Ckp Bbs Special","Chakradharpur","Bhubaneswar"
"14151","Cnb Anvt Express","Kanpur Central","Anand Vihar Trm"
"14153","Cnb Asr Express","Kanpur Central","Amritsar Junction"
"22443","Cnb Bdts Superfast","Kanpur Central","Bandra Terminus"
"04153","Cnb Cstm Special","Kanpur Central","Mumbai Cst"
"12210","Cnb Garib Rath","Kathgodam","Kanpur Central"
"12469","Cnb Jat Express","Kanpur Central","Jammu Tawi"
"12033","Cnb Ndls Shatabdi","Kanpur Central","New Delhi"
"14155","Cnb Uhp Express","Kanpur Central","Udhampur"
"17221","Coa  Ltt Express","Kakinada Port","Lokmanyatilak T"
"12339","Coal Field Express","Howrah Junction","Dhanbad Junction"
"12340","Coalfield Express","Dhanbad Junction","Howrah Junction"
"12775","Cocanada Express","Kakinada Town","Secunderabad Junction"
"12776","Cocanada Express","Secunderabad Junction","Kakinada Town"
"06039","Coimbatore Express","Chennai Egmore","Coimbatore Junction"
"16617","Coimbatore Express","Rameswaram","Coimbatore Junction"
"11013","Coimbatore Express","Lokmanyatilak T","Coimbatore Junction"
